Bunia,19-05-2026,Security situation relatively calm.
Bunia,20-05-2026,Security situation relatively calm.
Bunia,21-05-2026,Security situation relatively calm. Security briefing provided to deployed teams.
Bunia,22-05-2026,Security situation relatively calm. Security briefing provided to deployed teams.
Bunia,30-05-2026,"Relatively calm security situation in Bunia town and Rwampara Health Zone as of May 30, 2026."
Rwampara,30-05-2026,"Relatively calm security situation in Bunia town and Rwampara Health Zone as of May 30, 2026."
Bunia,31-05-2026,Security situation relatively calm in the city of Bunia (HZs Bunia and Rwampara).
Rwampara,31-05-2026,Security situation relatively calm in the city of Bunia (HZs Bunia and Rwampara).
Rwampara,02-06-2026,"Security situation relatively calm in the city of Bunia (HZs Bunia and Rwampara). However, presence of armed groups in the territories of Djugu, Irumu and Mambasa continues to limit humanitarian access in several affected or at-risk health zones. INCIDENT: SDB team assaulted at Bunia cemetery — 5 response workers injured."
Nizi,02-06-2026,Security situation remains unstable in the health zones of Nizi and Bambu.
Bambu,02-06-2026,Security situation remains unstable in the health zones of Nizi and Bambu.
Katana,02-06-2026,"SERIOUS INCIDENT: Community attacked the SDB team at Katana, resulting in the abandonment of the coffin and handling of the body by the community. Major risk of new transmission chains created."
Katwa,02-06-2026,Coordination meetings held to address security constraints linked to ADF incursions. Security incidents (ADF incursions) response ongoing [D+2].
Beni,02-06-2026,Coordination meetings held to address security constraints linked to ADF incursions. Security incidents (ADF incursions) response ongoing [D+2].
Butembo,02-06-2026,Coordination meetings held to address security constraints linked to ADF incursions. Security incidents (ADF incursions) response ongoing [D+2].
Oicha,02-06-2026,Coordination meetings held to address security constraints linked to ADF incursions. Security incidents (ADF incursions) response ongoing [D+2].
Kalunguta,02-06-2026,Coordination meetings held to address security constraints linked to ADF incursions. Security incidents (ADF incursions) response ongoing [D+2].
Kyondo,02-06-2026,Coordination meetings held to address security constraints linked to ADF incursions. Security incidents (ADF incursions) response ongoing [D+2].
Goma,02-06-2026,Coordination meetings held to address security constraints linked to ADF incursions. Security incidents (ADF incursions) response ongoing [D+2].
Bambu,03-06-2026,"Unstable security situation. Presence of armed groups in Djugu, Irumu and Mambasa territories limits humanitarian access."
Nizi,03-06-2026,"Unstable security situation. Presence of armed groups in Djugu, Irumu and Mambasa territories limits humanitarian access."
Katana,03-06-2026,"Major incident: Red Cross EDS team attacked, coffin abandoned, body handled by the community. Risk of new transmission chains."
Mongbwalu,03-06-2026,Youth uprising against response team; windshields of two vehicles (MSF and Red Cross) damaged by projectiles.
Bunia,03-06-2026,Attack at cemetery on 02 June: 5 response team members injured. Discovery of 2 bodies in Salongo neighbourhood awaiting EDS.
Oicha,03-06-2026,"Massacre of approximately 24 civilians at Mbau (Oicha HZ) attributed to presumed ADF. Response activities in Beni, Butembo and Oicha paralysed due to popular demonstrations."
Nizi,04-06-2026,Security situation remains unstable.
Bambu,04-06-2026,Security situation remains unstable.
Bunia,04-06-2026,Relatively calm.
Bambu,05-06-2026,The security situation remains unstable in the health zones of Bambu.
Nizi,05-06-2026,The security situation remains unstable in the health zones of Nizi.
Bunia,05-06-2026,"The security situation in the city of Bunia (Bunia and Rwampara health zones) is relatively calm. However, the presence of armed groups in the territories of Djugu, Irumu and Mambasa continues to limit humanitarian access in several affected or at-risk health zones."
Bunia,06-06-2026,Relatively calm. Sensitisation of soldiers' wives (compartment leaders) and their children on EVD generalities.Presence of armed groups continues to limit humanitarian access in several affected or at-risk health zones.
Bunia,07-06-2026,"Incident: SDB team attacked by unidentified persons at Nyamurongo cemetery. Toll: 2 people seriously injured and 2 vehicles damaged. Security situation relatively calm. However, presence of armed groups in Djugu, Irumu and Mambasa territories continues to limit humanitarian access in several affected or at-risk health zones."
Rwampara,07-06-2026,"Security situation relatively calm. However, presence of armed groups in Djugu, Irumu and Mambasa territories continues to limit humanitarian access in several affected or at-risk health zones."
Bunia,08-06-2026,"The security situation in Bunia city (Bunia and Rwampara health zones) is relatively calm. However, the presence of armed groups in the territories of Djugu, Irumu and Mambasa continues to limit humanitarian access in several affected or at-risk health zones."
Bunia,09-06-2026,"Situation relatively calm in Bunia and Rwampara. Armed groups in Djugu, Irumu and Mambasa limit humanitarian access."
Rwampara,09-06-2026,"Situation relatively calm in Bunia and Rwampara. Armed groups in Djugu, Irumu and Mambasa limit humanitarian access."
Bunia,11-06-2026,"Situation relatively calm in Bunia and Rwampara. Armed groups in Djugu, Irumu and Mambasa limit humanitarian access."
Rwampara,11-06-2026,"Situation relatively calm in Bunia and Rwampara. Armed groups in Djugu, Irumu and Mambasa limit humanitarian access."
Bunia,15-06-2026,Support for blood transfusion safety strengthening (CNTS equipment and materials delivered by WHO). Monitoring of medicine deployment (UG-PDSS and MEMISA Belgium). Security situation calm but unpredictable in Bunia and surrounding areas.
Mongbwalu,15-06-2026,Incident: EDS team attacked in PLUTO health area. SDB was performed after security forces intervention. No casualties reported.
Bunia,16-06-2026,Security situation remains calm but unpredictable in Bunia and surrounding areas.
Bunia,18-06-2026,Security situation remains calm but unpredictable in Bunia and surrounding areas.
Bunia,19-06-2026,Security situation remains calm but unpredictable in Bunia and surrounding areas.
Bunia,22-06-2026,Security situation remains calm but unpredictable in Bunia and surrounding areas.
Bunia,23-06-2026,Security situation remains calm but unpredictable in Bunia and surrounding areas.
Bunia,24-06-2026,Security situation remains calm but unpredictable in Bunia and surrounding areas.
Bunia,25-06-2026,Security situation remains calm but unpredictable in Bunia and surrounding areas.
Bunia,29-06-2026,Security situation remains calm but unpredictable in Bunia and surrounding areas. Incident: PoC under construction at Miala (north entrance of Bunia) was burned down on the night of 28-29 June by unidentified persons.
Bunia,30-06-2026,Security situation remains calm but unpredictable in Bunia and surrounding areas.
Bunia,02-07-2026,"Security situation remains calm but unpredictable in Bunia and surrounding areas. Incident at PK51 (Nia-Nia HZ) slowed planned activities. Strengthened dialogue with local authorities, community leaders and security services remains a priority to ensure access to high-risk areas"
Bunia,03-07-2026,Security situation remains calm but unpredictable in Bunia and surrounding areas. Vandalism act at Irumu Centre PoC by unidentified persons following the arrest of one of their members by security services.
Bunia,04-07-2026,Security situation remains calm but unpredictable in Bunia and surrounding areas. Incident: IPC team attacked and vehicle stoned during decontamination of CMC Kiharo (Rughenda health area).
Bunia,07-07-2026,Continued strike of healthcare providers in Bunia and Rwampara health zones in Ituri.
Bunia,09-07-2026,Continued strike of healthcare providers in Bunia and Rwampara health zones in Ituri. Supervision at Kasitu PoC on prevention measures and screening. Briefing of PNC personnel at Kitatumba ETC on barrier measures. No new major security incident reported.
Nia-Nia,10-07-2026,Avakubi PoC (Bafwanduo health area) vandalized by unidentified persons. Nia-Nia Medical Chief advocated for the securing of PK51 locality (health center ransacked for the second time) to allow resumption of response activities and SDBs.
Bunia,10-07-2026,Mudzibala PoC: threats against providers after transfer of an adolescent to ETC. Refusal of screening/handwashing by some humanitarian and military personnel.
