nom,date,security_fr
Bunia,19-05-2026,Situation sécuritaire relativement calme.
Bunia,20-05-2026,Situation sécuritaire relativement calme.
Bunia,21-05-2026,Situation sécuritaire relativement calme. Briefing de sécurité fourni aux équipes déployées.
Bunia,22-05-2026,Situation sécuritaire relativement calme. Briefing de sécurité fourni aux équipes déployées.
Bunia,30-05-2026,Situation sécuritaire relativement calme dans la ville de Bunia et dans la Zone de Santé de Rwampara au 30 mai 2026.
Rwampara,30-05-2026,Situation sécuritaire relativement calme dans la ville de Bunia et dans la Zone de Santé de Rwampara au 30 mai 2026.
Bunia,31-05-2026,Situation sécuritaire relativement calme dans la ville de Bunia (ZS Bunia et Rwampara).
Rwampara,31-05-2026,Situation sécuritaire relativement calme dans la ville de Bunia (ZS Bunia et Rwampara).
Rwampara,02-06-2026,"Situation sécuritaire relativement calme dans la ville de Bunia (ZS Bunia et Rwampara). Cependant, la présence de groupes armés dans les territoires de Djugu, Irumu et Mambasa continue de limiter l'accès humanitaire dans plusieurs zones sanitaires touchées ou à risque. INCIDENT : Une équipe du SDB agressée au cimetière de Bunia — 5 intervenants blessés."
Nizi,02-06-2026,La situation sécuritaire reste instable dans les zones de santé de Nizi et Bambu.
Bambu,02-06-2026,La situation sécuritaire reste instable dans les zones de santé de Nizi et Bambu.
Katana,02-06-2026,"INCIDENT GRAVE : La communauté a attaqué l'équipe SDB à Katana, entraînant l'abandon du cercueil et la manipulation du corps par la communauté. Risque majeur de création de nouvelles chaînes de transmission."
Katwa,02-06-2026,Réunions de coordination organisées pour répondre aux contraintes sécuritaires liées aux incursions des ADF. Réponse aux incidents de sécurité (incursions ADF) en cours [J+2].
Beni,02-06-2026,Réunions de coordination organisées pour répondre aux contraintes sécuritaires liées aux incursions des ADF. Réponse aux incidents de sécurité (incursions ADF) en cours [J+2].
Butembo,02-06-2026,Réunions de coordination organisées pour répondre aux contraintes sécuritaires liées aux incursions des ADF. Réponse aux incidents de sécurité (incursions ADF) en cours [J+2].
Oicha,02-06-2026,Réunions de coordination organisées pour répondre aux contraintes sécuritaires liées aux incursions des ADF. Réponse aux incidents de sécurité (incursions ADF) en cours [J+2].
Kalunguta,02-06-2026,Réunions de coordination organisées pour répondre aux contraintes sécuritaires liées aux incursions des ADF. Réponse aux incidents de sécurité (incursions ADF) en cours [J+2].
Kyondo,02-06-2026,Réunions de coordination organisées pour répondre aux contraintes sécuritaires liées aux incursions des ADF. Réponse aux incidents de sécurité (incursions ADF) en cours [J+2].
Goma,02-06-2026,Réunions de coordination organisées pour répondre aux contraintes sécuritaires liées aux incursions des ADF. Réponse aux incidents de sécurité (incursions ADF) en cours [J+2].
Bambu,03-06-2026,"Situation sécuritaire instable. La présence de groupes armés dans les territoires de Djugu, Irumu et Mambasa limite l'accès humanitaire."
Nizi,03-06-2026,"Situation sécuritaire instable. La présence de groupes armés dans les territoires de Djugu, Irumu et Mambasa limite l'accès humanitaire."
Katana,03-06-2026,"Incident majeur : attaque de l'équipe EDS de la Croix-Rouge, cercueil abandonné, corps manipulé par la communauté. Risque de nouvelles chaînes de transmission."
Mongbwalu,03-06-2026,Soulèvement des jeunes contre l’équipe d’intervention ; pare-brise de deux véhicules (MSF et Croix Rouge) endommagés par des projectiles.
Bunia,03-06-2026,Attaque au cimetière le 2 juin : 5 membres de l'équipe d'intervention blessés. Découverte de 2 corps dans le quartier de Salongo en attente d'EDS.
Oicha,03-06-2026,"Massacre d'environ 24 civils à Mbau (Oicha HZ) attribué à des ADF présumés. Les activités de réponse à Beni, Butembo et Oicha ont été paralysées en raison des manifestations populaires."
Nizi,04-06-2026,La situation sécuritaire reste instable.
Bambu,04-06-2026,La situation sécuritaire reste instable.
Bunia,04-06-2026,Relativement calme.
Bambu,05-06-2026,La situation sécuritaire reste instable dans les zones de santé de Bambu.
Nizi,05-06-2026,La situation sécuritaire reste instable dans les zones de santé de Nizi.
Bunia,05-06-2026,"La situation sécuritaire dans la ville de Bunia (zones de santé de Bunia et Rwampara) est relativement calme. Cependant, la présence de groupes armés dans les territoires de Djugu, Irumu et Mambasa continue de limiter l'accès humanitaire dans plusieurs zones sanitaires touchées ou à risque."
Bunia,06-06-2026,Relativement calme. Sensibilisation des épouses des militaires (chefs de compartiment) et de leurs enfants sur les généralités de la MVE. La présence de groupes armés continue de limiter l'accès humanitaire dans plusieurs zones de santé touchées ou à risque.
