Goma,20-05-2026,"16 échantillons reçus au laboratoire de Beni : 7 transmis à Goma (4 arrivés à l'INRB Goma, 3 en route) ; 9 sont toujours retenus à l'INRB Beni en attente de transport pour expédition au laboratoire d'analyses."
Bunia,30-05-2026,Poursuite des analyses au laboratoire de Bunia et à l'INRB Kinshasa.
Bunia,01-06-2026,Poursuite des analyses au laboratoire de Bunia et à l'INRB Kinshasa.
Miti-Murhesa,01-06-2026,Laboratoire mobile INRB installé à Miti-Murhesa (Sud Kivu).
Bunia,02-06-2026,"70 échantillons collectés et analysés (taux de positivité : 27,1%). Aucun échantillon en attente d’analyse."
Katwa,02-06-2026,34 échantillons collectés. 42 résultats sont toujours en attente en raison d'un délai d'exécution supérieur à 5 jours. Plan de rattrapage requis. | Action prioritaire : plan de rattrapage de 42 prélèvements en attente [J+2].
Beni,02-06-2026,34 échantillons collectés. 42 résultats sont toujours en attente en raison d'un délai d'exécution supérieur à 5 jours. Plan de rattrapage requis. | Action prioritaire : plan de rattrapage de 42 prélèvements en attente [J+2].
Butembo,02-06-2026,34 échantillons collectés. 42 résultats sont toujours en attente en raison d'un délai d'exécution supérieur à 5 jours. Plan de rattrapage requis. | Action prioritaire : plan de rattrapage de 42 prélèvements en attente [J+2].
Oicha,02-06-2026,34 échantillons collectés. 42 résultats sont toujours en attente en raison d'un délai d'exécution supérieur à 5 jours. Plan de rattrapage requis. | Action prioritaire : plan de rattrapage de 42 prélèvements en attente [J+2].
Kalunguta,02-06-2026,34 échantillons collectés. 42 résultats sont toujours en attente en raison d'un délai d'exécution supérieur à 5 jours. Plan de rattrapage requis. | Action prioritaire : plan de rattrapage de 42 prélèvements en attente [J+2].
Kyondo,02-06-2026,34 échantillons collectés. 42 résultats sont toujours en attente en raison d'un délai d'exécution supérieur à 5 jours. Plan de rattrapage requis. | Action prioritaire : plan de rattrapage de 42 prélèvements en attente [J+2].
Goma,02-06-2026,34 échantillons collectés. 42 résultats sont toujours en attente en raison d'un délai d'exécution supérieur à 5 jours. Plan de rattrapage requis. | Action prioritaire : plan de rattrapage de 42 prélèvements en attente [J+2].
Miti-Murhesa,02-06-2026,Laboratoire mobile INRB installé à Miti-Murhesa pour accélérer le diagnostic.
Mongbwalu,03-06-2026,"Réception machine RADIONE (4 modules) et boîte à gants, dans le cadre de la décentralisation du diagnostic PCR. Formation des prestataires prévue (J+2). 82 échantillons prélevés et analysés : 18 positifs, 61 négatifs, 3 invalides. Taux de positivité : 22,0%. Aucun échantillon en attente. Déploiement d'une machine RADIONE (4 modules) dans la zone de santé de Mongbwalu pour la décentralisation des diagnostics de laboratoire."
Beni,03-06-2026,Réception de 100 kits de prélèvement (écouvillons). 39 échantillons collectés en 24h. 10 testés au Petit Nord (0 positif). 147 résultats en attente dans le Grand Nord — délai moyen > 5 jours. Besoin urgent d'un plan de rattrapage (J+2).
Miti-Murhesa,03-06-2026,Poursuite de l'installation du laboratoire mobile INRB à Miti-Murhesa.
Mongbwalu,04-06-2026,"Démarrage effectif de l’analyse des échantillons (équipement installé et personnel formé). 199 échantillons collectés et analysés (positivité 32,6%) ; déploiement d'une machine dans la ZS de Mongbwalu et démarrage effectif de l'analyse des échantillons."
Beni,04-06-2026,"57 échantillons collectés et analysés, 6 positifs à la MVE ; 118 résultats toujours en attente."
Miti-Murhesa,04-06-2026,2 échantillons reçus au laboratoire (1 ré-échantillonnage).
Beni,05-06-2026,"11 échantillons collectés et analysés, aucun positif pour la MVE. 159 résultats restent en attente faute de réactifs."
Miti-Murhesa,05-06-2026,"6 échantillons reçus et analysés au laboratoire, tous négatifs à la MVE."
